127.0.0.1 - - [13/Jan/2019:18:24:50 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 200 3912 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:50 +0100] "GET /carbon/server-admin/system_status_ajaxprocessor.jsp HTTP/1.1" 200 1257 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:52 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 299 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:24:53 +0100] "POST /services/LoggedUserInfoAdmin HTTP/1.1" 200 777 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:24:56 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 200 3912 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:56 +0100] "GET /carbon/server-admin/system_status_ajaxprocessor.jsp HTTP/1.1" 200 1256 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:25:02 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 302 - "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:25:02 +0100] "GET /carbon/admin/login.jsp HTTP/1.1" 200 3426 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:25:04 +0100] "GET /throttle/data/v1/keyTemplates HTTP/1.1" 200 12 "-" "-"
127.0.0.1 - - [13/Jan/2019:18:25:04 +0100] "GET /throttle/data/v1/block HTTP/1.1" 200 68 "-" "-"
127.0.0.1 - - [13/Jan/2019:18:25:23 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:25:28 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 299 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:25:28 +0100] "POST /services/LoggedUserInfoAdmin HTTP/1.1" 200 777 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/login.jsp HTTP/1.1" 200 3427 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/css/global.css HTTP/1.1" 200 5311 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/styles/css/main.css HTTP/1.1" 200 1361 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/dialog/css/dialog.css HTTP/1.1" 200 556 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/css/carbonFormStyles.css HTTP/1.1" 200 2050 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/dialog/css/jqueryui/jqueryui-themeroller.css HTTP/1.1" 200 4020 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery.cookie.js HTTP/1.1" 200 1529 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
