127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/application/images/service-provider.png HTTP/1.1" 200 670 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/idpmgt/images/trust.png HTTP/1.1" 200 775 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/userstore_config/images/add.gif HTTP/1.1" 200 407 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/application/images/list.png HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/idpmgt/images/add.gif HTTP/1.1" 200 407 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/application/images/add.png HTTP/1.1" 200 639 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/idpmgt/images/list.gif HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/config.gif HTTP/1.1" 200 1006 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/publish.gif HTTP/1.1" 200 619 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/policies.gif HTTP/1.1" 200 387 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/policy.gif HTTP/1.1" 200 1017 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/search-top.png HTTP/1.1" 200 785 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/feature-mgt/images/comp-manager.gif HTTP/1.1" 200 580 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/log-admin/images/log.gif HTTP/1.1" 200 596 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/identity-mgt/images/email-template.png HTTP/1.1" 200 602 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/identity-mgt/images/keys.gif HTTP/1.1" 200 969 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/roles-mgt/images/server-role.gif HTTP/1.1" 200 1073 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-impl/images/wf-profile.gif HTTP/1.1" 200 347 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-mgt/images/add.png HTTP/1.1" 200 639 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-mgt/images/list.png HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tenant-mgt/images/multi_tenancy.png HTTP/1.1" 200 768 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tenant-mgt/images/services.gif HTTP/1.1" 200 604 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tenant-mgt/images/services1.gif HTTP/1.1" 200 608 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-mgt/images/engagement.gif HTTP/1.1" 200 376 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-mgt/images/workflow.gif HTTP/1.1" 200 233 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/keystoremgt/images/keystore.gif HTTP/1.1" 200 604 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/keystoremgt/images/add.gif HTTP/1.1" 200 407 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/keystoremgt/images/list.gif HTTP/1.1" 200 216 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/server-admin/images/restart.gif HTTP/1.1" 200 631 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/resources/images/resources.gif HTTP/1.1" 200 1028 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/search/images/search-top.png HTTP/1.1" 200 785 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/metrics-view/images/icon_hierarchy.png HTTP/1.1" 200 601 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/statistics/images/chart_bar.gif HTTP/1.1" 200 1040 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/metrics-view/images/icon_monitor_pc.gif HTTP/1.1" 200 274 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/log-view/images/script_gear.gif HTTP/1.1" 200 1082 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tracer/images/tracer.gif HTTP/1.1" 200 1058 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tools-saml/images/lock_blue.png HTTP/1.1" 200 592 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tools-saml/images/validate_r.png HTTP/1.1" 200 819 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/tools-saml/images/response_gen.gif HTTP/1.1" 200 1082 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/entitlement/images/evaluate.png HTTP/1.1" 200 714 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/workflow-mgt/images/request-list.gif HTTP/1.1" 200 614 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/admin/images/down-arrow.gif HTTP/1.1" 200 610 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/admin/images/leftRightSlider-dark.png HTTP/1.1" 200 1421 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 200 3912 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/server-admin/system_status_ajaxprocessor.jsp HTTP/1.1" 200 1256 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:49 +0100] "GET /carbon/admin/images/table-header.gif HTTP/1.1" 200 873 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:55 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 200 3912 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:55 +0100] "GET /carbon/server-admin/system_status_ajaxprocessor.jsp HTTP/1.1" 200 1255 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:02:01 +0100] "GET /carbon/admin/jsp/session-validate.jsp HTTP/1.1" 302 - "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:02:01 +0100] "GET /carbon/admin/login.jsp HTTP/1.1" 200 3426 "https://localhost:9448/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:02:14 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 299 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:02:14 +0100] "POST /services/LoggedUserInfoAdmin HTTP/1.1" 200 777 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:02:21 +0100] "GET /throttle/data/v1/keyTemplates HTTP/1.1" 200 12 "-" "-"
127.0.0.1 - - [13/Jan/2019:20:02:21 +0100] "GET /throttle/data/v1/block HTTP/1.1" 200 68 "-" "-"
127.0.0.1 - - [13/Jan/2019:20:04:32 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 299 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:04:58 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 299 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:04:58 +0100] "POST /services/LoggedUserInfoAdmin HTTP/1.1" 200 777 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:05:01 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:05:01 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:05:05 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:05:05 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:06:49 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:06:50 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:20:06:51 +0100] "POST /services/APIKeyMgtSubscriberService HTTP/1.1" 200 1218 "-" "Axis2"
